id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
24050,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Locomotive Men Printed Blue T-shirt
13967,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Ed Hardy Men Printed Red Tshirts
10373,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Solid Black Tshirts
50194,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Black T-shirt
58372,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Locomotive Men Beige T-shirt
4361,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Free Authority Men's Melting Times Blue T-shirt
4319,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Kid's Unisex Free Spirit Turquoise Kidswear
6115,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,UCB Men's United Colors Flock Navy T-shirt
6724,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Locomotive Men's Print Electric Supply Blue T-shirt
3110,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Probase Men's Western Highway Black T-shirt
13966,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men Solid White Tshirts
6272,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,UCB Men's Contrast Rib Grey T-shirt
6066,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,UCB Men's Polo Neck Striper Heavy Wash Black Pink T-shirt
22330,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,John Players Men Stripes White T-Shirt
37155,Men,Apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirt
29247,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Sports,ADIDAS Men Lakers Yellow Jersey
