id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,dichTen
24050,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Locomotive Men Printed Blue T-shirt,Áo thun in hình người đàn ông đầu máy xe lửa màu xanh dương
13967,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Ed Hardy Men Printed Red Tshirts,Áo thun nam Ed Hardy in họa tiết màu đỏ
10373,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Solid Black Tshirts,Áo thun nam màu đen trơn hiệu United Colors of Benetton
50194,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Black T-shirt,Áo thun đen Gini và Jony Boys
58372,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Locomotive Men Beige T-shirt,Áo thun nam màu be hiệu Locomotive
4361,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Free Authority Men's Melting Times Blue T-shirt,Áo thun nam Free Authority Melting Times màu xanh dương
4319,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Kid's Unisex Free Spirit Turquoise Kidswear,Quần áo trẻ em unisex Tantra Kid's Free Spirit màu xanh ngọc
6115,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,UCB Men's United Colors Flock Navy T-shirt,Áo thun nam UCB United Colors Flock màu xanh hải quân
6724,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Locomotive Men's Print Electric Supply Blue T-shirt,"Áo thun nam in hình đầu máy xe lửa, nguồn cung cấp điện, màu xanh dương"
3110,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Probase Men's Western Highway Black T-shirt,Áo thun nam Probase Western Highway màu đen
13966,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men Solid White Tshirts,Áo thun nam màu trắng trơn hiệu Ed Hardy
6272,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,UCB Men's Contrast Rib Grey T-shirt,Áo thun nam UCB màu xám phối gân tương phản
6066,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,UCB Men's Polo Neck Striper Heavy Wash Black Pink T-shirt,Áo thun cổ polo nam UCB kẻ sọc màu đen hồng đậm
22330,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,John Players Men Stripes White T-Shirt,Áo thun trắng kẻ sọc John Players dành cho nam
37155,Men,Apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirt,Áo thun nam Campbell (gói 3 chiếc)
29247,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Sports,ADIDAS Men Lakers Yellow Jersey,Áo đấu màu vàng của đội Lakers do ADIDAS sản xuất dành cho nam.
8340,Boys,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Doodle Boy's Volleyball Champion Black White Kidswear,Áo thun trẻ em Doodle Boy's Volleyball Champion màu đen trắng
3943,Women,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,Jealous 21 Women's Maroon T-shirt,Áo thun nữ màu đỏ tía Jealous 21
5150,Women,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Wrangler Women's Rhythm Graphic Coral Red T-shirt,Áo thun nữ Wrangler Rhythm Graphic màu đỏ san hô
7012,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Classic Polo Men's Green Polo With Grey Stripes T-shirt,Áo Polo nam cổ điển màu xanh lá cây với sọc xám
12884,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Spykar Men Helmet Grey T-Shirts,Áo thun nam Spykar màu xám in hình mũ bảo hiểm.
28844,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,Proline Men Charcoal T-shirt,Áo thun nam Proline màu than chì
2091,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2010.0,Sports,ADIDAS Mens ESS 3S Polo T-shirt,Áo Polo nam ADIDAS ESS 3S
5158,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Inkfruit Men's Hell Raiser Brown T-shirt,Áo thun nam Inkfruit Hell Raiser màu nâu
3779,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Status Quo Men's Black Polo T-shirt,Áo Polo nam màu đen hiệu Status Quo
33304,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Gini and Jony Boys Pack of 2 T-shirts,Bộ 2 áo thun Gini và Jony dành cho bé trai.
7003,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,s.Oliver Men's Sky Polo Blue T-shirt,Áo polo nam S.Oliver màu xanh da trời
2847,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Mr.Men Men's Is There More Love Purple T-shirt,"Áo thun nam Mr.Men ""Is There More Love"" màu tím"
10465,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Flying Machine Men Paisley Purple Tshirts,Áo thun Flying Machine Men Paisley màu tím
7749,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Indigo Nation Men Young Lords Purple T-shirt,Áo thun Indigo Nation Men Young Lords màu tím
51370,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Spykar Men Black T-shirt,Áo thun đen nam Spykar
4235,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Probase Men's Aircorp Brown Tshirt,Áo thun nam Probase Aircorp màu nâu
