lightfm_no_components,lightfm_loss,lightfm_learning_rate,lightfm_epochs,lightfm_num_threads,lightfm_alpha,lightfm_random_state,lightfm_item_alpha,lightfm_user_alpha,precision@10,recall@20,ndcg@10,catalog_coverage@10,novelty@10,train_seconds
32,warp,0.05,80,4,0.0001,42,0.0001,0.0001,0.26099999999999984,0.06712397499328959,0.26471523372996053,0.8998490186210367,3.3585742944873602,74.88
64,warp,0.05,80,4,0.0001,42,0.0001,0.0001,0.2545999999999997,0.06652266656930526,0.26216968112681355,0.9033719174635129,3.364191305024754,111.57
128,warp,0.05,80,4,0.0001,42,0.0001,0.0001,0.2568,0.06715871833897681,0.26175402469131215,0.9018621036738802,3.364225891836261,156.39
32,bpr,0.05,50,4,1e-06,42,1e-06,1e-06,0.2599999999999998,0.06705021398572926,0.2616764487436589,0.9043784599899346,3.3710154635791203,60.79
128,warp,0.05,50,4,1e-05,42,1e-05,1e-05,0.2620000000000001,0.06737256311060587,0.261080524730064,0.9058882737795672,3.3561691930268265,118.41
32,bpr,0.05,50,4,1e-05,42,1e-05,1e-05,0.26239999999999974,0.0675749127935496,0.2609832695249858,0.9094111726220433,3.3615037534108096,56.76
64,warp,0.05,80,4,1e-06,42,1e-06,1e-06,0.2597999999999998,0.06681444317255104,0.2600835779258075,0.9119275289380976,3.3665556050311856,102.62
128,warp,0.1,80,4,0.0001,42,0.0001,0.0001,0.2577999999999997,0.06778391088178981,0.2589837044472778,0.8998490186210367,3.353329146934981,152.88
32,warp,0.1,60,4,1e-06,42,1e-06,1e-06,0.26180000000000003,0.06782597988991802,0.2589056534564726,0.9048817312531454,3.3690860952168076,70.65
32,warp,0.1,80,4,1e-05,42,1e-05,1e-05,0.2595999999999997,0.06790733971218009,0.2587944433597877,0.9124308002013085,3.364389228198259,71.79
64,warp,0.05,50,4,1e-06,42,1e-06,1e-06,0.25859999999999994,0.0668937118865521,0.25870513209463664,0.8973326623049824,3.3624375468521546,85.43
32,warp,0.05,60,4,0.0001,42,0.0001,0.0001,0.25620000000000004,0.06726341738328831,0.2586407616847813,0.9008555611474585,3.360881795011735,61.11
128,bpr,0.05,80,4,1e-05,42,1e-05,1e-05,0.2579999999999998,0.06706165461506725,0.25838722107387835,0.9008555611474585,3.362283055531459,158.36
64,bpr,0.05,80,4,1e-06,42,1e-06,1e-06,0.2612,0.06848901215003816,0.25807126193583124,0.9003522898842476,3.3622034160066745,98.41
128,warp,0.1,60,4,1e-06,42,1e-06,1e-06,0.25880000000000003,0.06597343836291186,0.2579605015465514,0.9068948163059889,3.3636521792529646,130.17
64,bpr,0.05,50,4,1e-06,42,1e-06,1e-06,0.2559999999999998,0.06666430818471152,0.2579243556564247,0.898842476094615,3.369813063249051,77.33
64,warp,0.05,60,4,1e-06,42,1e-06,1e-06,0.25939999999999996,0.06834157240645865,0.25774817320798565,0.9008555611474585,3.3687671286922143,90.78
128,warp,0.05,80,4,1e-05,42,1e-05,1e-05,0.25499999999999984,0.06709452116464999,0.257661709154256,0.9043784599899346,3.358298715673713,150.18
32,bpr,0.1,50,4,1e-05,42,1e-05,1e-05,0.2509999999999998,0.0660587541988533,0.25695685715787786,0.9063915450427781,3.357594476598735,58.8
64,warp,0.1,60,4,0.0001,42,0.0001,0.0001,0.2590000000000001,0.06634724339643515,0.256947791012464,0.9084046300956216,3.3603807677754136,88.23
64,warp,0.1,80,4,1e-05,42,1e-05,1e-05,0.25799999999999995,0.06695056943651552,0.2562949138465886,0.9094111726220433,3.3662551091985353,99.7
32,bpr,0.05,80,4,1e-05,42,1e-05,1e-05,0.2574,0.06607864781636566,0.2558890998949674,0.8963261197785607,3.3645921898465576,70.96
32,warp,0.05,80,4,1e-06,42,1e-06,1e-06,0.2549999999999998,0.06737146540634842,0.25556574025866635,0.9079013588324106,3.363156106691527,75.13
32,bpr,0.05,60,4,1e-06,42,1e-06,1e-06,0.2561999999999999,0.06590859267467195,0.25540620026062355,0.9073980875691998,3.3637919975118535,67.7
128,warp,0.05,60,4,1e-05,42,1e-05,1e-05,0.2544,0.06546796312630167,0.2553954891353085,0.9099144438852541,3.365797808822721,130.69
128,bpr,0.05,60,4,1e-05,42,1e-05,1e-05,0.2545999999999999,0.06708972412924458,0.2553423888413336,0.895319577252139,3.370547187490262,132.55
64,warp,0.1,60,4,1e-06,42,1e-06,1e-06,0.2544000000000001,0.06651448176473915,0.2552596884919432,0.898842476094615,3.3546877111820357,82.69
64,warp,0.05,80,4,1e-05,42,1e-05,1e-05,0.2579999999999998,0.066244135112357,0.25522350958969264,0.9109209864116758,3.367371622222227,99.33
32,bpr,0.1,80,4,1e-06,42,1e-06,1e-06,0.25799999999999973,0.06813551607869349,0.2550744695382426,0.9099144438852541,3.370870881325302,77.26
128,warp,0.05,50,4,0.0001,42,0.0001,0.0001,0.25479999999999986,0.06748397420686822,0.2550157998307746,0.9099144438852541,3.3608532772320707,122.08
64,warp,0.1,50,4,1e-05,42,1e-05,1e-05,0.2525999999999999,0.06654211164496492,0.2549106390171027,0.9033719174635129,3.364577570519228,73.29
64,warp,0.05,50,4,1e-05,42,1e-05,1e-05,0.2537999999999998,0.06675842053810917,0.25457490153756873,0.8973326623049824,3.361149303103051,78.87
128,bpr,0.1,50,4,1e-06,42,1e-06,1e-06,0.2543999999999998,0.06735645646828613,0.25455844470838873,0.9053850025163563,3.362963297278803,122.31
32,bpr,0.1,50,4,1e-06,42,1e-06,1e-06,0.25239999999999985,0.06680007898853482,0.2543076362619573,0.8917966784096628,3.3604043684330813,60.03
32,bpr,0.1,60,4,1e-05,42,1e-05,1e-05,0.25279999999999986,0.06685188314375473,0.2541452934624351,0.898842476094615,3.361408420146595,63.98
128,bpr,0.1,80,4,1e-06,42,1e-06,1e-06,0.2521999999999999,0.06629881808430302,0.25400171037486113,0.9079013588324106,3.364131056319103,165.39
32,warp,0.1,50,4,0.0001,42,0.0001,0.0001,0.2516,0.06685620554933261,0.2539897667136748,0.9068948163059889,3.372400985549658,58.68
32,warp,0.05,60,4,1e-05,42,1e-05,1e-05,0.25419999999999987,0.06595650521518624,0.25390353734069515,0.9023653749370911,3.3616922046409723,65.37
128,warp,0.05,60,4,0.0001,42,0.0001,0.0001,0.25379999999999975,0.065714663490444,0.25359581682765325,0.9028686462003019,3.3617323746756838,130.7
32,warp,0.05,60,4,1e-06,42,1e-06,1e-06,0.25259999999999966,0.06676769754070373,0.2534755830979955,0.9124308002013085,3.367541719578536,63.06
128,warp,0.05,80,4,1e-06,42,1e-06,1e-06,0.25679999999999986,0.06758103590860862,0.25308051895955436,0.895319577252139,3.359366091520369,147.13
128,warp,0.1,50,4,1e-05,42,1e-05,1e-05,0.2539999999999999,0.0670394894575415,0.2530728158541738,0.9058882737795672,3.364393976924166,113.23
32,warp,0.1,60,4,1e-05,42,1e-05,1e-05,0.24940000000000007,0.06654371228274801,0.2528066360243915,0.9053850025163563,3.3641388586246475,63.7
128,warp,0.1,80,4,1e-05,42,1e-05,1e-05,0.25599999999999984,0.06647354081774134,0.2526596933882177,0.9209864116758933,3.3709027050982163,154.34
